iter	Passed	Remaining
0	140	140684
1	143	71741
2	146	48846
3	149	37294
4	152	30352
5	155	25758
6	158	22467
7	161	19978
8	163	18057
9	166	16455
10	169	15239
11	171	14081
12	173	13151
13	175	12372
14	178	11697
15	180	11075
16	181	10494
17	183	10025
18	185	9575
19	187	9177
20	189	8842
21	191	8527
22	193	8218
23	196	7973
24	198	7759
25	201	7551
26	204	7354
27	206	7173
28	209	7006
29	212	6859
30	214	6714
31	217	6579
32	220	6447
33	221	6297
34	224	6181
35	226	6062
36	229	5962
37	232	5874
38	235	5798
39	238	5714
40	240	5636
41	243	5559
42	247	5500
43	250	5435
44	252	5368
45	256	5311
46	261	5297
47	265	5257
48	266	5175
49	268	5108
50	270	5033
51	273	4979
52	276	4936
53	279	4889
54	281	4842
55	284	4803
56	287	4757
57	290	4717
58	294	4692
59	297	4654
60	299	4615
61	302	4579
62	305	4544
63	308	4518
64	311	4485
65	314	4457
66	317	4426
67	321	4412
68	324	4383
69	328	4358
70	330	4329
71	333	4298
72	337	4280
73	339	4250
74	342	4222
75	345	4201
76	348	4178
77	352	4166
78	355	4139
79	357	4112
80	360	4090
81	363	4067
82	364	4029
83	368	4014
84	371	3994
85	373	3971
86	376	3948
87	379	3929
88	381	3908
89	384	3885
90	386	3865
91	389	3844
92	392	3824
93	394	3806
94	397	3782
95	399	3763
96	402	3745
97	405	3728
98	408	3716
99	411	3705
100	414	3687
101	416	3670
102	419	3655
103	422	3638
104	425	3624
105	428	3611
106	430	3596
107	433	3579
108	436	3564
109	439	3552
110	442	3541
111	445	3531
112	447	3511
113	449	3491
114	452	3479
115	454	3460
116	456	3447
117	459	3434
118	462	3421
119	464	3408
120	468	3400
121	470	3385
122	473	3373
123	476	3362
124	478	3348
125	481	3338
126	484	3332
127	488	3324
128	490	3314
129	493	3303
130	496	3291
131	498	3281
132	501	3267
133	503	3254
134	505	3241
135	508	3230
136	511	3225
137	515	3220
138	518	3211
139	521	3202
140	524	3194
141	526	3178
142	528	3170
143	531	3161
144	534	3152
145	537	3142
146	539	3131
147	542	3121
148	545	3117
149	548	3107
150	551	3100
151	553	3090
152	556	3083
153	558	3067
154	560	3056
155	563	3048
156	566	3039
157	568	3031
158	571	3023
159	574	3014
